venue,title,event_type,date,hall,description,url,price
Concertgebouw,Sjostakovitsj 120: Kamermuziek met de Familie Ferschtman (deel 2),Luisteren,"do 12 feb 2026, 20:15 - 22:20",Kleine Zaal,"Sjostakovitsj Pianokwintet in g, op. 57 Sjostakovitsj Pianotrio nr. 2 in e, op. 67",https://www.concertgebouw.nl/concerten/8503291-sjostakovitsj-120-kamermuziek-met-de-familie-ferschtman-deel-2,"v.a. EUR 35,00 [UITVERKOCHT]"
Concertgebouw,Valentine Special: Salsa Class and Party,Concert,"vr 13 feb 2026, 20:00 - 23:59",Kleine Zaal,,https://www.concertgebouw.nl/concerten/41773093-valentine-special-salsa-class-and-party,"v.a. EUR 39,00 [UITVERKOCHT]"
Concertgebouw,Brad Mehldau,Concert,"vr 13 feb 2026, 20:15 - 21:45",Grote Zaal,,https://www.concertgebouw.nl/concerten/8507461-brad-mehldau,"v.a. EUR 19,00 [UITVERKOCHT]"
Concertgebouw,Valentine Special: Salsa Party,Concert,"vr 13 feb 2026, 21:30 - 23:59",Kleine Zaal,,https://www.concertgebouw.nl/concerten/41701215-valentine-special-salsa-party,"v.a. EUR 24,00 [UITVERKOCHT]"
Concertgebouw,Valentine Special: Salsa Class,Concert,"za 14 feb 2026, 14:15 - 15:30",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977893-valentine-special-salsa-class,"v.a. EUR 19,50 [UITVERKOCHT]"
Concertgebouw,Valentine Special: Salsa Class,Concert,"za 14 feb 2026, 16:00 - 17:15",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977894-valentine-special-salsa-class,"v.a. EUR 19,50 [UITVERKOCHT]"
Concertgebouw,Valentine Special: Salsa Class and Party,Concert,"za 14 feb 2026, 20:00 - 23:59",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977895-valentine-special-salsa-class-and-party,"v.a. EUR 39,00 [UITVERKOCHT]"
Concertgebouw,Valentine Classics at the Movies,Concert,"za 14 feb 2026, 20:15 - 22:15",Grote Zaal,Horner Suite uit 'Titanic' Arlen Over the Rainbow,https://www.concertgebouw.nl/concerten/8110220-valentine-classics-at-the-movies,"v.a. EUR 25,00 [UITVERKOCHT]"
Concertgebouw,Valentine Special: Salsa Party,Concert,"za 14 feb 2026, 21:30 - 23:59",Kleine Zaal,,https://www.concertgebouw.nl/concerten/36977896-valentine-special-salsa-party,"v.a. EUR 24,00 [UITVERKOCHT]"
Concertgebouw,Mahlers Des Knaben Wunderhorn & Prokofjevs Romeo en Julia,Concert,"zo 15 feb 2026, 11:00 - 12:00",Grote Zaal,Prokofjev De dood van Tybalt Prokofjev Aubade,https://www.concertgebouw.nl/concerten/7408735-mahlers-des-knaben-wunderhorn-prokofjevs-romeo-en-julia,"v.a. EUR 21,00"
Concertgebouw,Countertenor Alexander Chance zingt Dowland & Purcell over liefde en verlies,Concert,"zo 15 feb 2026, 15:00 - 17:00",Kleine Zaal,Harper My love gave me an apple Rosseter What Then Is Love But Mourning,https://www.concertgebouw.nl/concerten/8925978-countertenor-alexander-chance-zingt-dowland-purcell-over-liefde-en-verlies,"v.a. EUR 40,00 [Laatste kaarten]"
Concertgebouw,Celebrate Valentine with Berget Lewis & Friends,Concert,"zo 15 feb 2026, 20:15 - 22:15",Grote Zaal,,https://www.concertgebouw.nl/concerten/28453661-celebrate-valentine-with-berget-lewis-friends,"v.a. EUR 39,00"
Concertgebouw,Festival Finale HearAndNow met het Strijkkwartet van Debussy,Festival,"zo 15 feb 2026, 20:15 - 21:50",Kleine Zaal,"Debussy Strijkkwartet in g, op. 10 Bartók Marunbel",https://www.concertgebouw.nl/concerten/44148382-festival-finale-hearandnow-met-het-strijkkwartet-van-debussy,"v.a. EUR 30,00"
Concertgebouw,Faurés Requiem door het Nederlands Kamerkoor en Amsterdam Sinfonietta,Concert,"di 17 feb 2026, 20:15 - 22:15",Grote Zaal,"Fauré Requiem, op. 48 (arr. W. van Klaveren) Sjostakovitsj Kammersinfonie, op. 110a (arr. R. Barshai)",https://www.concertgebouw.nl/concerten/7605195-faures-requiem-door-het-nederlands-kamerkoor-en-amsterdam-sinfonietta,"v.a. EUR 29,00 [Laatste kaarten]"
Concertgebouw,Lilian Farahani & Friends: My Favorite Things,Concert,"di 17 feb 2026, 20:15 - 22:10",Kleine Zaal,Parra Gracias a la vida Piazzolla Yo soy María (deel 1),https://www.concertgebouw.nl/concerten/8507462-lilian-farahani-friends-my-favorite-things,"v.a. EUR 35,00"
