title,event_type,date,hall,description,url,price
Nationaal Gesprek over Vrijheid: Ahmed Marcouch,Nationaal Gesprek over Vrijheid,do 12 februari 2026,De Balie,"Studenten van het Rijn IJssel gaan in gesprek met de burgemeester van Arnhem Ahmed Marcouch over de betekenis van vrijheid, democratie en actief burgerschap.",https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-ahmed-marcouch-12-02-2026/,Gratis
Kennismakers: wie redt de zorg?,Politiek & Democratie,"do 12 februari 2026, 19:30",De Balie,"Innovatie helpt om groeiende arbeidstekorten in de zorg het hoofd te bieden, maar wat betekent dit voor het sociale aspect? Komt menselijkheid in de zorg onder druk te staan?",https://debalie.nl/programma/kennismakers-wie-redt-de-zorg-12-02-2026/,Gratis
Plein Publiek: Ted van Lieshout,Idee & Verbeelding,"vr 13 februari 2026, 17:30",De Balie,Al meer dan veertig jaar is Ted van Lieshout een eigenzinnige stem in de (kinder)literatuur. Naar aanleiding van het verschijnen van zijn autobiografie-in-beelden Wat heb jij gedaan om mij gelukkig te...,https://debalie.nl/programma/plein-publiek-ted-van-lieshout-13-02-2026/,Gratis
The dark side of European solar panels in North-Africa,"Geopolitiek & Mensenrechten, Klimaat & duurzaamheid","vr 13 februari 2026, 19:30",De Balie,"Europe wants to become independent from fossil fuels and is feverishly searching for new sources of green energy. This quest is leading not only to wind farms and solar panels within the EU, but also ...",https://debalie.nl/programma/the-dark-side-of-european-solar-panels-in-north-africa-13-02-2026/,Gratis
No Farewell to Arms: Europe’s defence challenge,Geopolitiek & Mensenrechten,"vr 13 februari 2026, 20:00",De Balie,"The international world order is being shaken up, and Europe’s place at the new table is far from certain. Russia’s war against Ukraine continues unabated. What security strategy should Europe pursue?",https://debalie.nl/programma/no-farewell-to-arms-europes-defence-challenge-13-02-2026/,Gratis
"Piss Pool: over AI, oude lijven en digitale zelfvernieuwingscultuur","Leven & Tijdgeest, Idee & Verbeelding","za 14 februari 2026, 20:00",De Balie,"Wat betekent het om ouder te worden in een digitale wereld? In gesprek met denkers en kunstenaars naar aanleiding van PISS POOL, een baanbrekende theaterperformance die je instafeed in een ander licht...",https://debalie.nl/programma/piss-pool-over-ai-oude-lijven-en-digitale-zelfvernieuwingscultuur-14-02-2026/,Gratis
Guy Verhofstadt: een nieuwe liberale democratie,Politiek & Democratie,"zo 15 februari 2026, 15:00",De Balie,"De democratie in het Westen wordt van binnenuit en van buitenaf onder druk gezet. In De burger in opstand schetst  Guy Verhofstadt, voormalig minister-president van België, een blauwdruk voor een nieu...",https://debalie.nl/programma/guy-verhofstadt-een-nieuwe-liberale-democratie-15-02-2026/,Gratis
Ann Pettifor: Is the next financial crisis only a matter of time?,Politiek & Democratie,"ma 16 februari 2026, 20:00",De Balie,"Ann Pettifor accurately predicted the 2008 credit crisis with her book The Coming First World Debt Crisis. In her new book The Global Casino, Pettifor warns how offshore financial markets, operating w...",https://debalie.nl/programma/ann-pettifor-is-the-next-financial-crisis-only-a-matter-of-time-16-02-2026/,Gratis
Zoals Alba de Céspedes het zag,Idee & Verbeelding,"di 17 februari 2026, 20:00",De Balie," Een avond over liefde, fascisme en literatuur",https://debalie.nl/programma/zoals-alba-de-cespedes-het-zag-17-02-2026/,Gratis
Plein Publiek: Berend Sommer,Idee & Verbeelding,"vr 20 februari 2026, 17:30",De Balie,"Naar eigen zeggen wordt schrijven voor Berend Sommer met de jaren steeds lastiger. Vier jaar werkte hij aan De Reichenbachs, een roman over het verval van de Nederlandse middenklasse en de druk van de...",https://debalie.nl/programma/plein-publiek-berend-sommer-20-02-2026/,Gratis
in getuigenis,"Idee & Verbeelding, Emancipatie & Identiteit","vr 20 februari 2026, 20:00",De Balie,Met Adelheid Roosen en Leendert Vooijce,https://debalie.nl/programma/in-getuigenis-20-02-2026/,Gratis
Freedom Lecture: The Price of Activism,Geopolitiek & Mensenrechten,"za 21 februari 2026, 16:00",De Balie,"Three words on a t-shirt, thirty months in prison",https://debalie.nl/programma/freedom-lecture-the-price-of-activism-21-02-2026/,Gratis
Blasphemy vs the State: Dissenting Women,Geopolitiek & Mensenrechten,"za 21 februari 2026, 19:00",De Balie,"At least 89 countries have laws against blasphemy. Blasphemy laws are a powerful instrument of state repression, not least directed at women. How does the relationship between religious dissent and st...",https://debalie.nl/programma/blasphemy-vs-the-state-dissenting-women-21-02-2026/,Gratis
Concert: FarAvaz,Idee & Verbeelding,"za 21 februari 2026, 21:00",De Balie,Iranian singer and activist with music inspired by the Women Life Freedom movement,https://debalie.nl/programma/concert-faravaz-21-02-2026/,Gratis
Imagining lran after the Mullahs,Geopolitiek & Mensenrechten,"zo 22 februari 2026, 15:00",De Balie,"Mass protests in Iran appeared to shake the Islamic regime. But the status quo is enforced, for now, through extreme violence. What is needed to bring about a free Iran?",https://debalie.nl/programma/imagining-lran-after-the-mullahs-22-02-2026/,Gratis
The future of Ukrainian refugees in the Netherlands ,Emancipatie & Identiteit,"ma 23 februari 2026, 20:00",De Balie,"Since the grand-scale invasion of Ukraine, the Netherlands has received more than 130.000 of Ukrainian refugees. Their legal status allows them to work and go to school, but the majority lives in cris...",https://debalie.nl/programma/the-future-of-ukrainian-refugees-in-the-netherlands-23-02-2026/,Gratis
