title,event_type,date,hall,description,url,price
"Home, Interrupted",Short Films Screening of the FiDAN Film Festival,"Morgen, 19.30",Grote Zaal PDZ,"Memories, Resistance and life in Iran",https://dezwijger.nl/programma/the-fluid-concept-of-home,gratis
Jongeren en de (a)sociale media,Europa in Amsterdam,"di 10 feb, 19.30",IJzaal PDZ,Hoe zorgen we voor een fijne sociale media omgeving voor jongeren.,https://dezwijger.nl/programma/jongeren-en-de-asociale-media,gratis
Je kind is een goudmijn,Boekpresentatie & nagesprek,"di 10 feb, 20.00",Grote Zaal PDZ,Een kind is voor steeds meer partijen een verdienmodel. Maar wie betaalt de prijs?,https://dezwijger.nl/programma/je-kind-is-een-goudmijn,gratis
ESConference Escape towards Impact,ESC X PdZ,"wo 11 feb, 09.00",Grote Zaal PDZ,How can Systemic Co-design contribute to lasting impact in times of transition?,https://dezwijger.nl/programma/esconference-escape-towards-impact,gratis
Kneecap,Filmvertoning,"wo 11 feb, 20.00",Studio PDZ,"Kneecap, boegbeeld van een burgerrechtenbeweging.",https://dezwijger.nl/programma/kneecap,gratis
"Wat hebben seks, tech en politiek met elkaar te maken?",Vrij Nederland,"do 12 feb, 20.00",Grote Zaal PDZ,"Een avond over seks, macht en platformen.",https://dezwijger.nl/programma/porno-is-politiek,gratis
Het coalitieakkoord in economisch perspectief,KVS Special,"do 12 feb, 20.00",Studio PDZ,Wat doet kabinet Jetten I voor de Nederlandse economie?,https://dezwijger.nl/programma/het-coalitieakkoord-in-economisch-perspectief,gratis
Venezuela after Maduro,Shelter City presents:,"ma 16 feb, 19.30",IJzaal PDZ,"Human rights, civil society and the struggle for democracy.",https://dezwijger.nl/programma/venezuela-after-maduro,gratis
Groeiende ongelijkheid met Gary Economics,VPRO Meet Up x Economie van morgen,"ma 16 feb, 19.30",Studio PDZ,"Volgens ex-bankier Gary Stevenson zitten we middenin een grote economische crisis, maar uit deze zich vooral in extreme ongelijkheid.",https://dezwijger.nl/programma/groeiende-ongelijkheid-met-gary-economics,gratis
Groene kansen voor een groeiende stad,Verkiezingsquiz en debat,"ma 16 feb, 20.00",Grote Zaal PDZ,Hoe wil de politiek zich hardmaken voor een groen en gezond Amsterdam?,https://dezwijger.nl/programma/groene-kansen-voor-een-groeiende-stad,gratis
"AI als vriend, therapeut of partner",VPRO Meet Up,"di 17 feb, 20.00",Grote Zaal PDZ,Hoe verandert AI de manier waarop we communiceren en relaties aangaan?,https://dezwijger.nl/programma/ai-als-vriend-therapeut-of-partner,gratis
