title,event_type,date,hall,description,url,price
YIN YIN,Concert,"do 12 feb. 2026, 00:00",Paradiso - Zaal onbekend,De mannen uit Maastricht zijn alweer toe aan hun vierde album dat 16 januari 2026 verschijnt. Met Yatta! slaat de band...,https://www.podiuminfo.nl/concert/441976/YIN-YIN/Paradiso/,EUR 27.20
Pedro Santos,Concert,"do 12 feb. 2026, 20:00",Paradiso - Bovenzaal,Pedro Santos is een Portugese singer-songwriter die vanuit het VK langzaam maar zeker zijn eigen plek verovert. Na zijn...,https://www.podiuminfo.nl/concert/447731/Pedro-Santos/Paradiso/,EUR 17.00
Blossoms,Concert,"vr 13 feb. 2026, 19:30",Paradiso - Grote Zaal,"Concert Blossoms in Paradiso, Amsterdam op vrijdag 13 februari 2026 met Blossoms",https://www.podiuminfo.nl/concert/425150/Blossoms/Paradiso/,EUR 33.30 [UITVERKOCHT]
Stay Away From Dante!,Concert,"vr 13 feb. 2026, 19:30",Paradiso - Bovenzaal,Muzikant uit Amsterdam-Zuidoost met een dromerige sound,https://www.podiuminfo.nl/concert/447445/Stay-Away-From-Dante!/Paradiso/,EUR 14.00 [UITVERKOCHT]
TLM Presents: Our Liminal Space,Concert,"vr 13 feb. 2026, 23:45",Paradiso - Grote Zaal,"LM is het trio bestaande uit de dj's Tjade, Lucky Done Gone en Moody Mehran met een geluid die varieert van 90’s...",https://www.podiuminfo.nl/concert/449373/TLM-Presents-Our-Liminal-Space/Paradiso/,EUR 34.30 [UITVERKOCHT]
bdrmm,Concert,"za 14 feb. 2026, 18:00",Paradiso - Grote Zaal,Het Britse viertal van de band bdrmm (uit te spreken als 'bedroom') bracht in 2020 hun debuutalbum 'Bedroom' uit die...,https://www.podiuminfo.nl/concert/450083/bdrmm/Paradiso/,EUR 23.20
Hayden Calnin,Concert,"za 14 feb. 2026, 20:30",Paradiso - Zaal onbekend,Filmische folk door Australische songwriter,https://www.podiuminfo.nl/concert/438677/Hayden-Calnin/Paradiso/,EUR 16.50
Kalinichta Xl,Concert,"za 14 feb. 2026, 23:59",Paradiso - Grote Zaal,LGBTQIA+ clubnacht met wereldse muziek,https://www.podiuminfo.nl/concert/448557/Kalinichta-Xl/Paradiso/,EUR 25.70
Magdalena Bay,Concert,"zo 15 feb. 2026, 19:30",Paradiso - Grote Zaal,"Magdalena Bay, het synthpopduo uit Los Angeles bestaande uit Mica Tenenbaum en Matthew Lewin. Hoewel het duo Californië...",https://www.podiuminfo.nl/concert/435477/Magdalena-Bay/Paradiso/,EUR 34.30 [UITVERKOCHT]
Die Spitz @ Tolhuistuin,Concert,"zo 15 feb. 2026, 19:30",Tolhuistuin - Tolhuistuin Club,"Wanneer passie, vriendschap, identiteit en artisticiteit samenkomen, kan het voelen alsof alles tegelijk op je afkomt....",https://www.podiuminfo.nl/concert/445355/Die-Spitz/Tolhuistuin/,EUR 16.50 [UITVERKOCHT]
Rochelle Jordan,Concert,"zo 15 feb. 2026, 19:30",Paradiso - Bovenzaal,Rochelle Jordan is een Brits-Canadese singer-songwriter gebaseerd in Los Angeles die de grenzen tussen alt-r&b en...,https://www.podiuminfo.nl/concert/446875/Rochelle-Jordan/Paradiso/,EUR 20.20 [UITVERKOCHT]
Rochelle Jordan,Concert,"zo 15 feb. 2026, 19:30",Paradiso - Bovenzaal,Rochelle Jordan is een Brits-Canadese singer-songwriter gebaseerd in Los Angeles die de grenzen tussen alt-r&b en...,https://www.podiuminfo.nl/concert/447325/Rochelle-Jordan/Paradiso/,EUR 20.20 [UITVERKOCHT]
Sessa @ Bitterzoet,Concert,"zo 15 feb. 2026, 20:30",Bitterzoet - Bitterzoet,"Sergio Sayeg, beter bekend als Sessa, is gefascineerd door de chaos van muziek en de onverwachte wendingen in het...",https://www.podiuminfo.nl/concert/444772/Sessa/Bitterzoet/,EUR 21.70
Madi Diaz @ Het Zonnehuis,Concert,"zo 15 feb. 2026, 20:30",Het Zonnehuis - Het Zonnehuis,Madi Diaz weet als geen ander hoe je breekbare folk krachtig moet laten klinken.  De artiest is erin geslaagd om met...,https://www.podiuminfo.nl/concert/445835/Madi-Diaz/Het-Zonnehuis/,EUR 21.70
Durand Jones & the Indications,Concert,"ma 16 feb. 2026, 19:30",Paradiso - Grote Zaal,Noorse singer-songwriter maakt dromerige electropop,https://www.podiuminfo.nl/concert/438731/Durand-Jones-the-Indications/Paradiso/,EUR 31.30 [UITVERKOCHT]
Vowws,Concert,"ma 16 feb. 2026, 19:30",Paradiso - Bovenzaal,VOWWS is altijd gehuld geweest in mysterie en duisternis. Dat is de natuurlijke stand van het darkwave-duo Matt James...,https://www.podiuminfo.nl/concert/447963/Vowws/Paradiso/,[GEANNULEERD]
Durand Jones & the Indications,Concert,"di 17 feb. 2026, 20:00",Paradiso - Grote Zaal,"De Amerikaanse r&b en soulband Durand Jones & The Indications bestaat uit het schrijvende trio Durand Jones (zang),...",https://www.podiuminfo.nl/concert/429868/Durand-Jones-the-Indications/Paradiso/,EUR 31.30 [UITVERKOCHT]
Laura-Mary Carter @ Cinetol,Concert,"di 17 feb. 2026, 20:30",Cinetol - Cinetol,Laura-Mary Carter is in de eerste plaats bekend als de ene helft van de veelgeprezen rockband Blood Red Shoes. Voor het...,https://www.podiuminfo.nl/concert/436406/Laura-Mary-Carter/Cinetol/,EUR 23.70
Soyuz,Concert,"wo 18 feb. 2026, 19:30",Paradiso - Bovenzaal,"SOYUZ (СОЮЗ) is een collectief uit Minsk, Wit-Rusland, tegenwoordig gevestigd in Warschau. Opgericht door de...",https://www.podiuminfo.nl/concert/437773/Soyuz/Paradiso/,EUR 15.00 [UITVERKOCHT]
De Jeugd Van Tegenwoordig,Concert,"wo 18 feb. 2026, 20:00",Paradiso - Grote Zaal,"Twintig jaar vieze verhalen, harde beats en onnavolgbare punchlines: De Jeugd van Tegenwoordig bestaat 20 jaar!",https://www.podiuminfo.nl/concert/446469/De-Jeugd-Van-Tegenwoordig/Paradiso/,EUR 50.40 [UITVERKOCHT]
Adam Green,Concert,"wo 18 feb. 2026, 22:00",Paradiso - Bovenzaal,Medeoprichter van The Moldy Peaches maakt zonderlinge liedjes,https://www.podiuminfo.nl/concert/445906/Adam-Green/Paradiso/,EUR 23.20
Nyve,Concert,"do 19 feb. 2026, 19:30",Paradiso - Bovenzaal,"Singer-songwriter combineert bossa nova, soul en jazz met pop",https://www.podiuminfo.nl/concert/435616/Nyve/Paradiso/,EUR 14.00 [UITVERKOCHT]
De Jeugd Van Tegenwoordig,Concert,"do 19 feb. 2026, 19:30",Paradiso - Grote Zaal,"Twintig jaar vieze verhalen, harde beats en onnavolgbare punchlines: De Jeugd van Tegenwoordig bestaat 20 jaar!",https://www.podiuminfo.nl/concert/446084/De-Jeugd-Van-Tegenwoordig/Paradiso/,EUR 50.40 [UITVERKOCHT]
Kin'gongolo Kiniata @ Tolhuistuin,Concert,"do 19 feb. 2026, 20:30",Tolhuistuin - Tolhuistuin Club,Kin’Gongolo Kiniata is geworteld in de bruisende straten van Kinshasa en herschrijft de grenzen van de Congolese...,https://www.podiuminfo.nl/concert/435678/Kingongolo-Kiniata/Tolhuistuin/,EUR 25.70
Brainpower - Door Merg & Brain 25th Anniversary Tour,Concert,"do 19 feb. 2026, 22:00",Paradiso - Bovenzaal,In een intieme setting van een aantal geliefde popzalen door het hele land zal Brainpower het 25-jarige bestaan van...,https://www.podiuminfo.nl/concert/447287/Brainpower-Door-Merg-Brain-25th-Anniversary-Tour/Paradiso/,EUR 28.20 [UITVERKOCHT]
Nate Mercereau,Concert,"vr 20 feb. 2026, 19:30",Paradiso - Bovenzaal,"Met een arsenaal van gitaar, synth, sampler, pedalboard, laptop, aerophones en percussie creëert Nate Mercereau een...",https://www.podiuminfo.nl/concert/438730/Nate-Mercereau/Paradiso/,EUR 17.00
IJsland,Concert,"vr 20 feb. 2026, 19:30",Paradiso - Grote Zaal,"JSLAND is geen land, het is een supergroep. Sef en Abel vinden elkaar, stoten elkaar af en vinden elkaar weer als...",https://www.podiuminfo.nl/concert/451360/IJsland/Paradiso/,EUR 31.30
Les Imprimés @ Tolhuistuin,Concert,"vr 20 feb. 2026, 20:30",Tolhuistuin - Tolhuistuin Zonzij,Achter het project Les Imprimés gaat de Noorse muzikant/zanger Morten Martens schuil. Multi-instrumentalist Martens...,https://www.podiuminfo.nl/concert/442034/Les-Imprimes/Tolhuistuin/,EUR 17.50
Viccens,Concert,"vr 20 feb. 2026, 22:30",Paradiso - Bovenzaal,Viccens is een expressieve en verrassende rapper. Met een kleurrijke pen en een muzikale stijl die net zo veelzijdig is...,https://www.podiuminfo.nl/concert/445292/Viccens/Paradiso/,EUR 14.50
Bss All Night Long,Concert,"vr 20 feb. 2026, 23:45",Paradiso - Grote Zaal,BSS is het muzikale alias van de Amsterdamse producer en dj Luigi Vittorio Vromen. Op 2 januari 2024 sloot hij De Nieuw...,https://www.podiuminfo.nl/concert/448861/Bss-All-Night-Long/Paradiso/,EUR 15.00
Honey I'm Home,Concert,"za 21 feb. 2026, 19:30",Paradiso - Bovenzaal,"Met vijf bandleden die eerder actief waren in groepen als Marathon, Jagd en Personal Trainer, brengt Honey I’m Home een...",https://www.podiuminfo.nl/concert/446973/Honey-Im-Home/Paradiso/,EUR 14.00
Eric Andersen @ Tolhuistuin,Concert,"za 21 feb. 2026, 20:30",Tolhuistuin - Tolhuistuin Zonzij,"Eric Andersen, bekend uit de Greenwich Village-scene van de jaren zestig, brengt voor het eerst in meer dan twintig...",https://www.podiuminfo.nl/concert/442015/Eric-Andersen/Tolhuistuin/,EUR 25.70
Latin District,Concert,"za 21 feb. 2026, 23:45",Paradiso - Grote Zaal en Bovenzaal,"Clubnacht met reggaeton, dancehall, salsa bachata en meer",https://www.podiuminfo.nl/concert/449296/Latin-District/Paradiso/,EUR 16.00
Piepend & Krakend,Concert,"zo 22 feb. 2026, 19:45",Paradiso - Grote Zaal en Bovenzaal,"Herrieschoppers, werkschuw tuig, krakers en sympathisanten van de zaak: opgelet! Op 22 februari wordt heel Paradiso...",https://www.podiuminfo.nl/concert/449175/Piepend-Krakend/Paradiso/,EUR 15.00
Jack Garratt @ Tolhuistuin,Concert,"zo 22 feb. 2026, 20:30",Tolhuistuin - Tolhuistuin Zonzij,De Engelse singer-songwriter en multi-instrumentalist Jack Garratt sloeg vorig jaar een nieuw hoofdstuk open met zijn...,https://www.podiuminfo.nl/concert/450854/Jack-Garratt/Tolhuistuin/,EUR 28.70
Zwangere Guy,Concert,"ma 23 feb. 2026, 20:30",Paradiso - Grote Zaal,Belgische rapper met rauwe en eerlijke teksten,https://www.podiuminfo.nl/concert/438682/Zwangere-Guy/Paradiso/,TBA
The Free Label,Concert,"ma 23 feb. 2026, 21:30",Paradiso - Bovenzaal,"Zeskoppige band vol funk, r&b en disco",https://www.podiuminfo.nl/concert/446904/The-Free-Label/Paradiso/,EUR 17.00 [UITVERKOCHT]
Westerman @ Tolhuistuin,Concert,"di 24 feb. 2026, 19:30",Tolhuistuin - Tolhuistuin Club,"De Britse singer-songwriter Westerman maakt dromerige en gelaagde artpop, ambient en experimentele folk. Hij brengt in...",https://www.podiuminfo.nl/concert/445886/Westerman/Tolhuistuin/,EUR 23.70
Sabrina Claudio,Concert,"di 24 feb. 2026, 20:00",Paradiso - Grote Zaal,"Na eerdere passages in Nederland, zowel op festivals (o.a. North Sea Jaxx) als in concertzalen, keert de rising star...",https://www.podiuminfo.nl/concert/443196/Sabrina-Claudio/Paradiso/,[GEANNULEERD]
Bernhoft @ Bitterzoet,Concert,"di 24 feb. 2026, 20:30",Bitterzoet - Bitterzoet,"Jarle Bernhoft is een veelzijdige Noorse artiest, bekend om zijn soulvolle stem en live-looping optredens. Hij brak...",https://www.podiuminfo.nl/concert/442035/Bernhoft/Bitterzoet/,EUR 27.70
Coach Party,Concert,"wo 25 feb. 2026, 19:30",Paradiso - Bovenzaal,Jess Eastwood leidt de Britse high-energy indierockband Coach Party met krachtige vocalen en het vermogen om haar...,https://www.podiuminfo.nl/concert/432792/Coach-Party/Paradiso/,EUR 17.00
Pogány Induló @ Tolhuistuin,Concert,"do 26 feb. 2026, 20:30",Tolhuistuin - Tolhuistuin Club,"Pogány Induló is uitgegroeid tot een gevestigde naam in de Hongaarse rap scene en wordt gezien als de rauwe,...",https://www.podiuminfo.nl/concert/444998/Pogany-Indulo/Tolhuistuin/,EUR 23.70 [UITVERKOCHT]
